Id: maria85; Freguesia: Cossourado; Nome: Maria Santos; Password: maria123
Id: jose74; Freguesia: Trandeiras; Nome: José Silva; Password: jose456
Id: ana42; Freguesia: Palmeira; Nome: Ana Costa; Password: ana789
Id: manuel67; Freguesia: Viatodos; Nome: Manuel Martins; Password: manuel321
Id: sofia88; Freguesia: Balugães; Nome: Sofia Pereira; Password: sofia654
Id: pedro79; Freguesia: Serzedelo; Nome: Pedro Oliveira; Password: pedro987
Id: rita93; Freguesia: Famalicão; Nome: Rita Sousa; Password: rita321
Id: miguel82; Freguesia: Figueiredo; Nome: Miguel Costa; Password: miguel654
Id: catarina75; Freguesia: Vilarinho das Cambas; Nome: Catarina Rodrigues; Password: catarina987
Id: andre14; Freguesia: São Torcato; Nome: André Silva; Password: andre123
Id: ines76; Freguesia: Ruivães; Nome: Inês Costa; Password: ines456
Id: antonio81; Freguesia: Frossos; Nome: António Martins; Password: antonio789
Id: carla94; Freguesia: Balazar; Nome: Carla Oliveira; Password: carla321
Id: ruiz86; Freguesia: Várzea; Nome: Rui Pereira; Password: rui654
Id: fatima78; Freguesia: Mogege; Nome: Fátima Costa; Password: fatima987
Id: hugo95; Freguesia: Carvalhal; Nome: Hugo Santos; Password: hugo321
Id: beatriz83; Freguesia: Vila Boa; Nome: Beatriz Silva; Password: beatriz654
Id: santiago77; Freguesia: Caldelas; Nome: Tiago Costa; Password: tiago987
Id: leonor98; Freguesia: São Vicente; Nome: Leonor Martins; Password: leonor321
Id: joseph81; Freguesia: Santa Lucrécia; Nome: João Sousa; Password: joao654
Id: mariana97; Freguesia: São Sebastião; Nome: Mariana Costa; Password: mariana987
Id: diogo80; Freguesia: Tamel; Nome: Daniel Martins; Password: daniel123
Id: rita96; Freguesia: Rendufe; Nome: Sara Oliveira; Password: sara456
Id: carlos68; Freguesia: Costa; Nome: Ricardo Costa; Password: ricardo789
Id: margarida84; Freguesia: Tabuadelo; Nome: Carolina Silva; Password: carolina321
Id: alex88; Freguesia: Pousada; Nome: Alexandre Martins; Password: alexandre654
Id: lucia73; Freguesia: Guardizela; Nome: Lúcia Oliveira; Password: lucia987
Id: antonio89; Freguesia: Louro; Nome: António Costa; Password: antonio321
Id: ana92; Freguesia: Sequeira; Nome: Ana Martins; Password: ana654
Id: joao97; Freguesia: Vermoim; Nome: João Pereira; Password: joao987
Id: marta91; Freguesia: Delães; Nome: Marta Costa; Password: marta321
Id: diogo75; Freguesia: Gondifelos; Nome: Diogo Silva; Password: diogo654
Id: andreia83; Freguesia: Barqueiros; Nome: Andreia Martins; Password: andreia987
Id: carlos95; Freguesia: Arcozelo; Nome: Carlos Oliveira; Password: carlos321
Id: margarida68; Freguesia: Brito; Nome: Margarida Costa; Password: margarida654
Id: pedro89; Freguesia: Requião; Nome: Pedro Martins; Password: pedro987
Id: catarina77; Freguesia: Longos; Nome: Catarina Oliveira; Password: catarina321
Id: rui92; Freguesia: Esmeriz; Nome: Rui Costa; Password: rui654
Id: sofia79; Freguesia: Gonça; Nome: Sofia Martins; Password: sofia987
Id: tiago91; Freguesia: Serzedo; Nome: Tiago Silva; Password: tiago321
Id: ines89; Freguesia: Bente; Nome: Inês Costa; Password: ines654
Id: miguel75; Freguesia: Cruz; Nome: Miguel Martins; Password: miguel987
Id: rita84; Freguesia: Balugães; Nome: Rita Oliveira; Password: rita321
Id: joao71; Freguesia: Gonça; Nome: João Costa; Password: joao654
Id: ana86; Freguesia: Lemenhe; Nome: Ana Martins; Password: ana987
Id: pedro93; Freguesia: Caldelas; Nome: Pedro Silva; Password: pedro321
Id: mariana88; Freguesia: Rendufe; Nome: Mariana Costa; Password: mariana654
Id: luis96; Freguesia: Serzedo; Nome: Luís Oliveira; Password: luis987
Id: sara83; Freguesia: Fradelos; Nome: Sara Martins; Password: sara321
Id: bruno94; Freguesia: Bairro; Nome: Bruno Costa; Password: bruno654
Id: luk; Freguesia: Tabuadelo; Nome: lucas; Password: sacul
